username,review,rating,date,likes,sentiment,language,case_folding,cleaning,token,stopword,stemming,processed_text
Deodatus Dikstra,"Aplikasi bagus sih dengan upah berupa uang dollar, buat yang mau coba saya saranin minimal bisa basic dulu dalam berbahasa inggris",5,2025-01-24 15:06:08,106,positif,id,"aplikasi bagus sih dengan upah berupa uang dollar, buat yang mau coba saya saranin minimal bisa basic dulu dalam berbahasa inggris",aplikasi bagus sih dengan upah berupa uang dollar buat yang mau coba saya saranin minimal bisa basic dulu dalam berbahasa inggris,"['aplikasi', 'bagus', 'sih', 'dengan', 'upah', 'berupa', 'uang', 'dollar', 'buat', 'yang', 'mau', 'coba', 'saya', 'saranin', 'minimal', 'bisa', 'basic', 'dulu', 'dalam', 'berbahasa', 'inggris']","['aplikasi', 'bagus', 'sih', 'upah', 'uang', 'dollar', 'coba', 'saranin', 'minimal', 'basic', 'berbahasa', 'inggris']","['aplikasi', 'bagus', 'sih', 'upah', 'uang', 'dollar', 'coba', 'saranin', 'minimal', 'basic', 'bahasa', 'inggris']",aplikasi bagus sih upah uang dollar coba saranin minimal basic bahasa inggris
Sino,Coba pertama dapat job ngga,5,2025-01-22 23:45:18,0,positif,id,coba pertama dapat job ngga,coba pertama dapat job ngga,"['coba', 'pertama', 'dapat', 'job', 'ngga']","['coba', 'job', 'ngga']","['coba', 'job', 'ngga']",coba job ngga
yani ariyanti,It's good for our discussion,5,2025-01-17 12:33:11,0,positif,en,it's good for our discussion,its good for our discussion,"['its', 'good', 'for', 'our', 'discussion']","['good', 'discussion']","['good', 'discuss']",good discuss
VectorJurig C,Good app,5,2025-01-13 11:37:07,0,positif,en,good app,good app,"['good', 'app']","['good', 'app']","['good', 'app']",good app
Kelvin Pratama Putra,Sangat membantu,5,2025-01-11 23:34:26,0,positif,id,sangat membantu,sangat membantu,"['sangat', 'membantu']",['membantu'],['bantu'],bantu
Aris Wissell,Recommended,5,2025-01-07 21:34:59,0,positif,en,recommended,recommended,['recommended'],['recommended'],['recommend'],recommend
Clay4people,"Thank you Upwork, at the beginning it's hard to search job, after I learn my skill and meets with clients need this is very potential! Thank you! 👍🏻 ☺️",5,2025-01-05 01:24:19,0,positif,en,"thank you upwork, at the beginning it's hard to search job, after i learn my skill and meets with clients need this is very potential! thank you! 👍🏻 ☺️",thank you upwork at the beginning its hard to search job after i learn my skill and meets with clients need this is very potential thank you,"['thank', 'you', 'upwork', 'at', 'the', 'beginning', 'its', 'hard', 'to', 'search', 'job', 'after', 'i', 'learn', 'my', 'skill', 'and', 'meets', 'with', 'clients', 'need', 'this', 'is', 'very', 'potential', 'thank', 'you']","['thank', 'upwork', 'beginning', 'hard', 'search', 'job', 'learn', 'skill', 'meets', 'clients', 'need', 'potential', 'thank']","['thank', 'upwork', 'begin', 'hard', 'search', 'job', 'learn', 'skill', 'meet', 'client', 'need', 'potenti', 'thank']",thank upwork begin hard search job learn skill meet client need potenti thank
Crew Basic,"Belum juga apa-apa harus beli connect dl? Setelah beli connect belum tentu dapet kerjaan, ada sistem bid, really?!",1,2024-12-28 12:21:32,0,negatif,id,"belum juga apa-apa harus beli connect dl? setelah beli connect belum tentu dapet kerjaan, ada sistem bid, really?!",belum juga apaapa harus beli connect dl setelah beli connect belum tentu dapet kerjaan ada sistem bid really,"['belum', 'juga', 'apaapa', 'harus', 'beli', 'connect', 'dl', 'setelah', 'beli', 'connect', 'belum', 'tentu', 'dapet', 'kerjaan', 'ada', 'sistem', 'bid', 'really']","['apaapa', 'beli', 'connect', 'dl', 'beli', 'connect', 'dapet', 'kerjaan', 'sistem', 'bid', 'really']","['apaapa', 'beli', 'connect', 'dl', 'beli', 'connect', 'dapet', 'kerja', 'sistem', 'bid', 'really']",apaapa beli connect dl beli connect dapet kerja sistem bid really
La Suharaa,Bagaimana cara mendapatkanpromo kodenya ketika mau apply?,2,2024-12-25 08:03:14,0,negatif,id,bagaimana cara mendapatkanpromo kodenya ketika mau apply?,bagaimana cara mendapatkanpromo kodenya ketika mau apply,"['bagaimana', 'cara', 'mendapatkanpromo', 'kodenya', 'ketika', 'mau', 'apply']","['mendapatkanpromo', 'kodenya', 'apply']","['mendapatkanpromo', 'kode', 'apply']",mendapatkanpromo kode apply
Song Writer,"Saya blm mencoba memulai tugas,,tapi kesulitan saya di aplikasi ini adlh tidak tersedia bahasa Indonesia,,saya kesulitan",5,2024-12-17 14:11:39,4,positif,id,"saya blm mencoba memulai tugas,,tapi kesulitan saya di aplikasi ini adlh tidak tersedia bahasa indonesia,,saya kesulitan",saya blm mencoba memulai tugastapi kesulitan saya di aplikasi ini adlh tidak tersedia bahasa indonesiasaya kesulitan,"['saya', 'blm', 'mencoba', 'memulai', 'tugastapi', 'kesulitan', 'saya', 'di', 'aplikasi', 'ini', 'adlh', 'tidak', 'tersedia', 'bahasa', 'indonesiasaya', 'kesulitan']","['blm', 'mencoba', 'tugastapi', 'kesulitan', 'aplikasi', 'adlh', 'tersedia', 'bahasa', 'indonesiasaya', 'kesulitan']","['blm', 'coba', 'tugastapi', 'sulit', 'aplikasi', 'adlh', 'sedia', 'bahasa', 'indonesiasaya', 'sulit']",blm coba tugastapi sulit aplikasi adlh sedia bahasa indonesiasaya sulit
Dinda Moon,Tidak ada tombol proposal,1,2024-12-16 01:17:41,4,negatif,id,tidak ada tombol proposal,tidak ada tombol proposal,"['tidak', 'ada', 'tombol', 'proposal']","['tombol', 'proposal']","['tombol', 'proposal']",tombol proposal
Hilal,Mantap,5,2024-12-14 07:51:24,0,positif,id,mantap,mantap,['mantap'],['mantap'],['mantap'],mantap
Endah W,"Great platform to earn money but unfortunately, we must buy connect..why don't Upwork provide ads for us to watch as win solution for free connects just like other platforms",4,2024-12-06 06:01:13,1,positif,en,"great platform to earn money but unfortunately, we must buy connect..why don't upwork provide ads for us to watch as win solution for free connects just like other platforms",great platform to earn money but unfortunately we must buy connectwhy dont upwork provide ads for us to watch as win solution for free connects just like other platforms,"['great', 'platform', 'to', 'earn', 'money', 'but', 'unfortunately', 'we', 'must', 'buy', 'connectwhy', 'dont', 'upwork', 'provide', 'ads', 'for', 'us', 'to', 'watch', 'as', 'win', 'solution', 'for', 'free', 'connects', 'just', 'like', 'other', 'platforms']","['great', 'platform', 'earn', 'money', 'unfortunately', 'must', 'buy', 'connectwhy', 'dont', 'upwork', 'provide', 'ads', 'us', 'watch', 'win', 'solution', 'free', 'connects', 'like', 'platforms']","['great', 'platform', 'earn', 'money', 'unfortun', 'must', 'buy', 'connectwhi', 'dont', 'upwork', 'provid', 'ad', 'us', 'watch', 'win', 'solut', 'free', 'connect', 'like', 'platform']",great platform earn money unfortun must buy connectwhi dont upwork provid ad us watch win solut free connect like platform
Max Mario,This app is user friendly.,5,2024-11-27 03:00:49,0,positif,en,this app is user friendly.,this app is user friendly,"['this', 'app', 'is', 'user', 'friendly']","['app', 'user', 'friendly']","['app', 'user', 'friendli']",app user friendli
Dodi Septiadi,Cant upload photos,3,2024-11-26 03:31:08,0,netral,en,cant upload photos,cant upload photos,"['cant', 'upload', 'photos']","['cant', 'upload', 'photos']","['cant', 'upload', 'photo']",cant upload photo
Jhoni S,Dulu bagus....sekarang terlalu mahal untuk apply tapi terlalu banyak pekerjaan scam yang diijinkan,1,2024-11-21 06:45:44,25,negatif,id,dulu bagus....sekarang terlalu mahal untuk apply tapi terlalu banyak pekerjaan scam yang diijinkan,dulu bagussekarang terlalu mahal untuk apply tapi terlalu banyak pekerjaan scam yang diijinkan,"['dulu', 'bagussekarang', 'terlalu', 'mahal', 'untuk', 'apply', 'tapi', 'terlalu', 'banyak', 'pekerjaan', 'scam', 'yang', 'diijinkan']","['bagussekarang', 'mahal', 'apply', 'pekerjaan', 'scam', 'diijinkan']","['bagussekarang', 'mahal', 'apply', 'kerja', 'scam', 'diijinkan']",bagussekarang mahal apply kerja scam diijinkan
safie,Bintang 5 dulu xixi,5,2024-11-21 03:50:52,0,positif,id,bintang 5 dulu xixi,bintang  dulu xixi,"['bintang', 'dulu', 'xixi']","['bintang', 'xixi']","['bintang', 'xixi']",bintang xixi
RIAN RIALDI,"Sangat buruk, saya tidak bisa memverifikasi identitas saya yang resmi dari indonesia dan identitas sim nasional saya pun tidak bisa, mempersulit",1,2024-11-20 08:09:43,0,negatif,id,"sangat buruk, saya tidak bisa memverifikasi identitas saya yang resmi dari indonesia dan identitas sim nasional saya pun tidak bisa, mempersulit",sangat buruk saya tidak bisa memverifikasi identitas saya yang resmi dari indonesia dan identitas sim nasional saya pun tidak bisa mempersulit,"['sangat', 'buruk', 'saya', 'tidak', 'bisa', 'memverifikasi', 'identitas', 'saya', 'yang', 'resmi', 'dari', 'indonesia', 'dan', 'identitas', 'sim', 'nasional', 'saya', 'pun', 'tidak', 'bisa', 'mempersulit']","['buruk', 'memverifikasi', 'identitas', 'resmi', 'indonesia', 'identitas', 'sim', 'nasional', 'mempersulit']","['buruk', 'verifikasi', 'identitas', 'resmi', 'indonesia', 'identitas', 'sim', 'nasional', 'sulit']",buruk verifikasi identitas resmi indonesia identitas sim nasional sulit
Yolanda Siregar,"Bagaimana ini masa mau apply job harus bayar dulu. Aplikasi ini bukannya untuk membantu menambah penghasilan namun harus dibayar dulu job yang di apply. Tolong di perbaiki lagi dong, masa harus bayar untuk apply job. Gimana jika mahasiswa yg apply job dan emang mau kerja sebagai freelance sambil menunggu pekerjaan tetap.",1,2024-11-16 00:48:25,264,negatif,id,"bagaimana ini masa mau apply job harus bayar dulu. aplikasi ini bukannya untuk membantu menambah penghasilan namun harus dibayar dulu job yang di apply. tolong di perbaiki lagi dong, masa harus bayar untuk apply job. gimana jika mahasiswa yg apply job dan emang mau kerja sebagai freelance sambil menunggu pekerjaan tetap.",bagaimana ini masa mau apply job harus bayar dulu aplikasi ini bukannya untuk membantu menambah penghasilan namun harus dibayar dulu job yang di apply tolong di perbaiki lagi dong masa harus bayar untuk apply job gimana jika mahasiswa yg apply job dan emang mau kerja sebagai freelance sambil menunggu pekerjaan tetap,"['bagaimana', 'ini', 'masa', 'mau', 'apply', 'job', 'harus', 'bayar', 'dulu', 'aplikasi', 'ini', 'bukannya', 'untuk', 'membantu', 'menambah', 'penghasilan', 'namun', 'harus', 'dibayar', 'dulu', 'job', 'yang', 'di', 'apply', 'tolong', 'di', 'perbaiki', 'lagi', 'dong', 'masa', 'harus', 'bayar', 'untuk', 'apply', 'job', 'gimana', 'jika', 'mahasiswa', 'yg', 'apply', 'job', 'dan', 'emang', 'mau', 'kerja', 'sebagai', 'freelance', 'sambil', 'menunggu', 'pekerjaan', 'tetap']","['apply', 'job', 'bayar', 'aplikasi', 'membantu', 'menambah', 'penghasilan', 'dibayar', 'job', 'apply', 'tolong', 'perbaiki', 'bayar', 'apply', 'job', 'gimana', 'mahasiswa', 'yg', 'apply', 'job', 'emang', 'kerja', 'freelance', 'menunggu', 'pekerjaan']","['apply', 'job', 'bayar', 'aplikasi', 'bantu', 'tambah', 'hasil', 'bayar', 'job', 'apply', 'tolong', 'baik', 'bayar', 'apply', 'job', 'gimana', 'mahasiswa', 'yg', 'apply', 'job', 'emang', 'kerja', 'freelance', 'tunggu', 'kerja']",apply job bayar aplikasi bantu tambah hasil bayar job apply tolong baik bayar apply job gimana mahasiswa yg apply job emang kerja freelance tunggu kerja
Addin Nur aulia,Mantap,5,2024-11-14 06:03:46,0,positif,id,mantap,mantap,['mantap'],['mantap'],['mantap'],mantap
YM,"Tidak ada fitur untuk email CS nya! Saya mau report seller yang sudah memakai portofolio saya tapi pihak upwork tidak menggubris! Terutama untuk seller india, parah seenaknya pakai karya orang!",1,2024-11-05 01:57:19,13,negatif,id,"tidak ada fitur untuk email cs nya! saya mau report seller yang sudah memakai portofolio saya tapi pihak upwork tidak menggubris! terutama untuk seller india, parah seenaknya pakai karya orang!",tidak ada fitur untuk email cs nya saya mau report seller yang sudah memakai portofolio saya tapi pihak upwork tidak menggubris terutama untuk seller india parah seenaknya pakai karya orang,"['tidak', 'ada', 'fitur', 'untuk', 'email', 'cs', 'nya', 'saya', 'mau', 'report', 'seller', 'yang', 'sudah', 'memakai', 'portofolio', 'saya', 'tapi', 'pihak', 'upwork', 'tidak', 'menggubris', 'terutama', 'untuk', 'seller', 'india', 'parah', 'seenaknya', 'pakai', 'karya', 'orang']","['fitur', 'email', 'cs', 'nya', 'report', 'seller', 'memakai', 'portofolio', 'upwork', 'menggubris', 'seller', 'india', 'parah', 'pakai', 'karya', 'orang']","['fitur', 'email', 'cs', 'nya', 'report', 'seller', 'pakai', 'portofolio', 'upwork', 'gubris', 'seller', 'india', 'parah', 'pakai', 'karya', 'orang']",fitur email cs nya report seller pakai portofolio upwork gubris seller india parah pakai karya orang
MASCODETNG,"So pretentious, there is no tolerance for making the slightest mistake, my money is made difficult to disburse. May you all have your own bad luck",1,2024-10-14 11:21:31,0,negatif,en,"so pretentious, there is no tolerance for making the slightest mistake, my money is made difficult to disburse. may you all have your own bad luck",so pretentious there is no tolerance for making the slightest mistake my money is made difficult to disburse may you all have your own bad luck,"['so', 'pretentious', 'there', 'is', 'no', 'tolerance', 'for', 'making', 'the', 'slightest', 'mistake', 'my', 'money', 'is', 'made', 'difficult', 'to', 'disburse', 'may', 'you', 'all', 'have', 'your', 'own', 'bad', 'luck']","['pretentious', 'tolerance', 'making', 'slightest', 'mistake', 'money', 'made', 'difficult', 'disburse', 'may', 'bad', 'luck']","['pretenti', 'toler', 'make', 'slightest', 'mistak', 'money', 'made', 'difficult', 'disburs', 'may', 'bad', 'luck']",pretenti toler make slightest mistak money made difficult disburs may bad luck
lucky ari,Aplikasi bagus untuk freelance mencari dollar dengan mengerjakan tugas yg sesuai keahlian masing² individu👍⭐⭐⭐⭐⭐,5,2024-10-14 06:43:20,37,positif,id,aplikasi bagus untuk freelance mencari dollar dengan mengerjakan tugas yg sesuai keahlian masing² individu👍⭐⭐⭐⭐⭐,aplikasi bagus untuk freelance mencari dollar dengan mengerjakan tugas yg sesuai keahlian masing² individu,"['aplikasi', 'bagus', 'untuk', 'freelance', 'mencari', 'dollar', 'dengan', 'mengerjakan', 'tugas', 'yg', 'sesuai', 'keahlian', 'masing²', 'individu']","['aplikasi', 'bagus', 'freelance', 'mencari', 'dollar', 'tugas', 'yg', 'sesuai', 'keahlian', 'masing²', 'individu']","['aplikasi', 'bagus', 'freelance', 'cari', 'dollar', 'tugas', 'yg', 'sesuai', 'ahli', 'masing', 'individu']",aplikasi bagus freelance cari dollar tugas yg sesuai ahli masing individu
Alvis Rusmadiputra,aplikasi yg menarik untuk bisa terus bisa berkompetitif dan mendapatkan pengalaman kerja dan profesi,5,2024-10-13 02:32:57,16,positif,id,aplikasi yg menarik untuk bisa terus bisa berkompetitif dan mendapatkan pengalaman kerja dan profesi,aplikasi yg menarik untuk bisa terus bisa berkompetitif dan mendapatkan pengalaman kerja dan profesi,"['aplikasi', 'yg', 'menarik', 'untuk', 'bisa', 'terus', 'bisa', 'berkompetitif', 'dan', 'mendapatkan', 'pengalaman', 'kerja', 'dan', 'profesi']","['aplikasi', 'yg', 'menarik', 'berkompetitif', 'pengalaman', 'kerja', 'profesi']","['aplikasi', 'yg', 'tarik', 'kompetitif', 'alam', 'kerja', 'profesi']",aplikasi yg tarik kompetitif alam kerja profesi
Imam Muthohar,Good application,5,2024-10-10 17:50:47,0,positif,en,good application,good application,"['good', 'application']","['good', 'application']","['good', 'applic']",good applic
Fahmi Nurdiansyah,Aku masih bingung menggunakan nya,3,2024-10-03 12:33:15,0,netral,id,aku masih bingung menggunakan nya,aku masih bingung menggunakan nya,"['aku', 'masih', 'bingung', 'menggunakan', 'nya']","['bingung', 'nya']","['bingung', 'nya']",bingung nya
Bee Meong,"Harus beli dulu connect! baru juga daftar, udh disuruh bayar dulu, mending langsung deal, ini masih bermain dengan bid, astaga!",1,2024-09-12 01:52:40,4,negatif,id,"harus beli dulu connect! baru juga daftar, udh disuruh bayar dulu, mending langsung deal, ini masih bermain dengan bid, astaga!",harus beli dulu connect baru juga daftar udh disuruh bayar dulu mending langsung deal ini masih bermain dengan bid astaga,"['harus', 'beli', 'dulu', 'connect', 'baru', 'juga', 'daftar', 'udh', 'disuruh', 'bayar', 'dulu', 'mending', 'langsung', 'deal', 'ini', 'masih', 'bermain', 'dengan', 'bid', 'astaga']","['beli', 'connect', 'daftar', 'udh', 'disuruh', 'bayar', 'mending', 'langsung', 'deal', 'bermain', 'bid', 'astaga']","['beli', 'connect', 'daftar', 'udh', 'suruh', 'bayar', 'mending', 'langsung', 'deal', 'main', 'bid', 'astaga']",beli connect daftar udh suruh bayar mending langsung deal main bid astaga
Lupus Auriga,I have bad experience. Dapet freelance 5x tapi di suruh transfer dan juga g ada profil perusahaan yg masang job. Mending langsung nyari di website resminya,1,2024-09-01 03:24:39,15,negatif,id,i have bad experience. dapet freelance 5x tapi di suruh transfer dan juga g ada profil perusahaan yg masang job. mending langsung nyari di website resminya,i have bad experience dapet freelance x tapi di suruh transfer dan juga g ada profil perusahaan yg masang job mending langsung nyari di website resminya,"['i', 'have', 'bad', 'experience', 'dapet', 'freelance', 'x', 'tapi', 'di', 'suruh', 'transfer', 'dan', 'juga', 'g', 'ada', 'profil', 'perusahaan', 'yg', 'masang', 'job', 'mending', 'langsung', 'nyari', 'di', 'website', 'resminya']","['i', 'have', 'bad', 'experience', 'dapet', 'freelance', 'x', 'suruh', 'transfer', 'g', 'profil', 'perusahaan', 'yg', 'masang', 'job', 'mending', 'langsung', 'nyari', 'website', 'resminya']","['i', 'have', 'bad', 'experience', 'dapet', 'freelance', 'x', 'suruh', 'transfer', 'g', 'profil', 'usaha', 'yg', 'masang', 'job', 'mending', 'langsung', 'nyari', 'website', 'resmi']",i have bad experience dapet freelance x suruh transfer g profil usaha yg masang job mending langsung nyari website resmi
Jun,"Verifikasi identitas gagal, udh upload dokumen ID, driving licence, photo selfy:(",4,2024-08-28 12:46:31,0,positif,en,"verifikasi identitas gagal, udh upload dokumen id, driving licence, photo selfy:(",verifikasi identitas gagal udh upload dokumen id driving licence photo selfy,"['verifikasi', 'identitas', 'gagal', 'udh', 'upload', 'dokumen', 'id', 'driving', 'licence', 'photo', 'selfy']","['verifikasi', 'identitas', 'gagal', 'udh', 'upload', 'dokumen', 'id', 'driving', 'licence', 'photo', 'selfy']","['verifikasi', 'identita', 'gagal', 'udh', 'upload', 'dokumen', 'id', 'drive', 'licenc', 'photo', 'selfi']",verifikasi identita gagal udh upload dokumen id drive licenc photo selfi
berlian fauziyyah,"Kasih bintang 1 dulu karena saya mengalami keterhambatan saat akan memverifikasi identitas dengan menggunakan KTP. Pencahayaan ok tapi dia bilangnya gelap terus, jadinya gak bisa resume activities padahal udah up resume in English sampe aku translate dadakan, kecewa banget.",1,2024-08-28 11:41:54,39,negatif,id,"kasih bintang 1 dulu karena saya mengalami keterhambatan saat akan memverifikasi identitas dengan menggunakan ktp. pencahayaan ok tapi dia bilangnya gelap terus, jadinya gak bisa resume activities padahal udah up resume in english sampe aku translate dadakan, kecewa banget.",kasih bintang  dulu karena saya mengalami keterhambatan saat akan memverifikasi identitas dengan menggunakan ktp pencahayaan ok tapi dia bilangnya gelap terus jadinya gak bisa resume activities padahal udah up resume in english sampe aku translate dadakan kecewa banget,"['kasih', 'bintang', 'dulu', 'karena', 'saya', 'mengalami', 'keterhambatan', 'saat', 'akan', 'memverifikasi', 'identitas', 'dengan', 'menggunakan', 'ktp', 'pencahayaan', 'ok', 'tapi', 'dia', 'bilangnya', 'gelap', 'terus', 'jadinya', 'gak', 'bisa', 'resume', 'activities', 'padahal', 'udah', 'up', 'resume', 'in', 'english', 'sampe', 'aku', 'translate', 'dadakan', 'kecewa', 'banget']","['kasih', 'bintang', 'mengalami', 'keterhambatan', 'memverifikasi', 'identitas', 'ktp', 'pencahayaan', 'ok', 'bilangnya', 'gelap', 'gak', 'resume', 'activities', 'udah', 'up', 'resume', 'in', 'english', 'sampe', 'translate', 'dadakan', 'kecewa', 'banget']","['kasih', 'bintang', 'alami', 'hambat', 'verifikasi', 'identitas', 'ktp', 'cahaya', 'ok', 'bilang', 'gelap', 'gak', 'resume', 'activities', 'udah', 'up', 'resume', 'in', 'english', 'sampe', 'translate', 'dada', 'kecewa', 'banget']",kasih bintang alami hambat verifikasi identitas ktp cahaya ok bilang gelap gak resume activities udah up resume in english sampe translate dada kecewa banget
Tangguh Waly,Suka sih dg aplikasi ini... Tapi harap tambahkan bahasa Indonesia agar para pengguna yg dari Indonesia bisa mencari pekerjaan freelance dg mudah,4,2024-08-28 02:48:32,21,positif,id,suka sih dg aplikasi ini... tapi harap tambahkan bahasa indonesia agar para pengguna yg dari indonesia bisa mencari pekerjaan freelance dg mudah,suka sih dg aplikasi ini tapi harap tambahkan bahasa indonesia agar para pengguna yg dari indonesia bisa mencari pekerjaan freelance dg mudah,"['suka', 'sih', 'dg', 'aplikasi', 'ini', 'tapi', 'harap', 'tambahkan', 'bahasa', 'indonesia', 'agar', 'para', 'pengguna', 'yg', 'dari', 'indonesia', 'bisa', 'mencari', 'pekerjaan', 'freelance', 'dg', 'mudah']","['suka', 'sih', 'dg', 'aplikasi', 'harap', 'tambahkan', 'bahasa', 'indonesia', 'pengguna', 'yg', 'indonesia', 'mencari', 'pekerjaan', 'freelance', 'dg', 'mudah']","['suka', 'sih', 'dg', 'aplikasi', 'harap', 'tambah', 'bahasa', 'indonesia', 'guna', 'yg', 'indonesia', 'cari', 'kerja', 'freelance', 'dg', 'mudah']",suka sih dg aplikasi harap tambah bahasa indonesia guna yg indonesia cari kerja freelance dg mudah
Eko Retmawan (Mas Garet),Great App,5,2024-08-25 00:32:13,0,positif,en,great app,great app,"['great', 'app']","['great', 'app']","['great', 'app']",great app
Arah Han Media,"Bagus, cuma kalau bisa tambahin fitur translate juga",5,2024-08-22 18:38:32,74,positif,id,"bagus, cuma kalau bisa tambahin fitur translate juga",bagus cuma kalau bisa tambahin fitur translate juga,"['bagus', 'cuma', 'kalau', 'bisa', 'tambahin', 'fitur', 'translate', 'juga']","['bagus', 'tambahin', 'fitur', 'translate']","['bagus', 'tambahin', 'fitur', 'translate']",bagus tambahin fitur translate
Exelcius Marturio,"Bagus aplikasinya, membantu...",5,2024-08-07 08:05:21,2,positif,id,"bagus aplikasinya, membantu...",bagus aplikasinya membantu,"['bagus', 'aplikasinya', 'membantu']","['bagus', 'aplikasinya', 'membantu']","['bagus', 'aplikasi', 'bantu']",bagus aplikasi bantu
Kyousuke Hasegawa,"Baru isi profil aja banyak yg gak bisa diisi. Posisi kerja saya dulu gak muncul, perusahaan, universitas, dll banyak yg gak muncul. Padahal baru isi profil. Sayangnya gak bisa isi manual, jadi gak terlalu berguna untuk yg perusahaan, universitas nya, dll gak muncul. Saya akan tunggu 1x update, kalau masih sama akan saya uninstall aplikasinya.",1,2024-07-30 08:06:14,24,negatif,id,"baru isi profil aja banyak yg gak bisa diisi. posisi kerja saya dulu gak muncul, perusahaan, universitas, dll banyak yg gak muncul. padahal baru isi profil. sayangnya gak bisa isi manual, jadi gak terlalu berguna untuk yg perusahaan, universitas nya, dll gak muncul. saya akan tunggu 1x update, kalau masih sama akan saya uninstall aplikasinya.",baru isi profil aja banyak yg gak bisa diisi posisi kerja saya dulu gak muncul perusahaan universitas dll banyak yg gak muncul padahal baru isi profil sayangnya gak bisa isi manual jadi gak terlalu berguna untuk yg perusahaan universitas nya dll gak muncul saya akan tunggu x update kalau masih sama akan saya uninstall aplikasinya,"['baru', 'isi', 'profil', 'aja', 'banyak', 'yg', 'gak', 'bisa', 'diisi', 'posisi', 'kerja', 'saya', 'dulu', 'gak', 'muncul', 'perusahaan', 'universitas', 'dll', 'banyak', 'yg', 'gak', 'muncul', 'padahal', 'baru', 'isi', 'profil', 'sayangnya', 'gak', 'bisa', 'isi', 'manual', 'jadi', 'gak', 'terlalu', 'berguna', 'untuk', 'yg', 'perusahaan', 'universitas', 'nya', 'dll', 'gak', 'muncul', 'saya', 'akan', 'tunggu', 'x', 'update', 'kalau', 'masih', 'sama', 'akan', 'saya', 'uninstall', 'aplikasinya']","['isi', 'profil', 'aja', 'yg', 'gak', 'diisi', 'posisi', 'kerja', 'gak', 'muncul', 'perusahaan', 'universitas', 'dll', 'yg', 'gak', 'muncul', 'isi', 'profil', 'sayangnya', 'gak', 'isi', 'manual', 'gak', 'berguna', 'yg', 'perusahaan', 'universitas', 'nya', 'dll', 'gak', 'muncul', 'tunggu', 'x', 'update', 'uninstall', 'aplikasinya']","['isi', 'profil', 'aja', 'yg', 'gak', 'isi', 'posisi', 'kerja', 'gak', 'muncul', 'usaha', 'universitas', 'dll', 'yg', 'gak', 'muncul', 'isi', 'profil', 'sayang', 'gak', 'isi', 'manual', 'gak', 'guna', 'yg', 'usaha', 'universitas', 'nya', 'dll', 'gak', 'muncul', 'tunggu', 'x', 'update', 'uninstall', 'aplikasi']",isi profil aja yg gak isi posisi kerja gak muncul usaha universitas dll yg gak muncul isi profil sayang gak isi manual gak guna yg usaha universitas nya dll gak muncul tunggu x update uninstall aplikasi
Muhammad Said,i have some problem in identity verification. has tried drive license & ID card but still rejected by system :( my ID is indonesian please help me,5,2024-07-28 10:05:20,0,positif,en,i have some problem in identity verification. has tried drive license & id card but still rejected by system :( my id is indonesian please help me,i have some problem in identity verification has tried drive license  id card but still rejected by system  my id is indonesian please help me,"['i', 'have', 'some', 'problem', 'in', 'identity', 'verification', 'has', 'tried', 'drive', 'license', 'id', 'card', 'but', 'still', 'rejected', 'by', 'system', 'my', 'id', 'is', 'indonesian', 'please', 'help', 'me']","['problem', 'identity', 'verification', 'tried', 'drive', 'license', 'id', 'card', 'still', 'rejected', 'system', 'id', 'indonesian', 'please', 'help']","['problem', 'ident', 'verif', 'tri', 'drive', 'licens', 'id', 'card', 'still', 'reject', 'system', 'id', 'indonesian', 'pleas', 'help']",problem ident verif tri drive licens id card still reject system id indonesian pleas help
Jan Imhesic,"Verifikasi email sangat lama, benar-benar payah",2,2024-07-24 10:52:11,5,negatif,id,"verifikasi email sangat lama, benar-benar payah",verifikasi email sangat lama benarbenar payah,"['verifikasi', 'email', 'sangat', 'lama', 'benarbenar', 'payah']","['verifikasi', 'email', 'benarbenar', 'payah']","['verifikasi', 'email', 'benarbenar', 'payah']",verifikasi email benarbenar payah
Nhur Holifah,"Sy cri kerjaan di upwork malah dsruh beli utk memulai koneksi, gmn mau dpt penghasilann",1,2024-07-21 06:03:05,11,negatif,id,"sy cri kerjaan di upwork malah dsruh beli utk memulai koneksi, gmn mau dpt penghasilann",sy cri kerjaan di upwork malah dsruh beli utk memulai koneksi gmn mau dpt penghasilann,"['sy', 'cri', 'kerjaan', 'di', 'upwork', 'malah', 'dsruh', 'beli', 'utk', 'memulai', 'koneksi', 'gmn', 'mau', 'dpt', 'penghasilann']","['sy', 'cri', 'kerjaan', 'upwork', 'dsruh', 'beli', 'utk', 'koneksi', 'gmn', 'dpt', 'penghasilann']","['sy', 'cri', 'kerja', 'upwork', 'dsruh', 'beli', 'utk', 'koneksi', 'gmn', 'dpt', 'penghasilann']",sy cri kerja upwork dsruh beli utk koneksi gmn dpt penghasilann
El Gendut,"agak sulit dapet klien ,udah ngisi bebrapa kali",2,2024-07-19 15:04:44,0,negatif,id,"agak sulit dapet klien ,udah ngisi bebrapa kali",agak sulit dapet klien udah ngisi bebrapa kali,"['agak', 'sulit', 'dapet', 'klien', 'udah', 'ngisi', 'bebrapa', 'kali']","['sulit', 'dapet', 'klien', 'udah', 'ngisi', 'bebrapa', 'kali']","['sulit', 'dapet', 'klien', 'udah', 'ngisi', 'bebrapa', 'kali']",sulit dapet klien udah ngisi bebrapa kali
